assisted_living_facility,assisted_living_facility_label,city,County,latitude,longitude,beds,no_substantiated_complaints,sanctions_final_orders,fines,total_deficiencies,class_1,class_2,class_3,class_4,unclassified
Colonial Assisted Living At Palm Beach Llc,Colonial Assisted Living At Palm Beach,,Palm Beach,26.7355,-80.0892,114,9,5,46500,29,3,0,25,0,1
Bayside Terrace Senior Living,Bayside Terrace Senior Living,Pinellas Park,Pinellas,27.8573,-82.6947,162,28,3,32000,53,3,0,45,0,5
Noble Senior Living At Brooksville,Noble Senior Living At Brooksville,Brooksville,Hernando,28.5581,-82.3874,135,8,9,31500,19,3,1,15,0,0
Terracina Grand,Terracina Grand,Naples,Collier,26.1398,-81.7294,200,0,1,30000,7,3,0,4,0,0
Watermark At Trinity (The),Watermark At Trinity (The),Trinity,Pasco,28.1871,-82.6345,117,3,3,20500,12,3,0,7,0,2
La Grande Belle,La Grande Belle,Tallahassee,Leon,30.5805,-84.3578,6,1,5,3000,35,3,7,17,3,5
American House Bonita Springs,American House Bonita Springs,Bonita Springs,Lee,26.3416,-81.7654,130,14,3,1500,25,3,0,19,2,1
Maggy'S Home Care,Maggy'S Home Care,Hialeah,Miami-Dade,25.9123,-80.3464,6,1,1,500,18,3,2,10,0,3
Inn Aston Gardens At Pelican Pointe,Inn Aston Gardens At Pelican Pointe,Venice,Sarasota,27.0955,-82.4158,50,3,1,500,12,3,1,6,2,0
Cadiz Alf Llc,Cadiz ALF,Miami ,Miami-Dade,25.7874,-80.2138,6,1,0,0,11,3,1,6,0,1
Superior Living Llc,Superior Living,Port Saint Lucie,St. Lucie,27.3197,-80.333,6,2,0,0,16,3,0,11,2,0
Seascape At Naples,Seascape At Naples,Naples,Collier,26.2091,-81.7477,179,6,1,0,11,3,0,8,0,0
Hampton Manor Of Punta Gorda Llc,Hampton Manor Of Punta Gorda,Punta Gorda ,Charlotte,26.8816,-82.0166,120,1,0,0,6,3,2,0,0,1
Harborchase Of Dr Phillips,Harborchase Of Dr Phillips,Orlando,Orange,28.4574,-81.4896,141,13,22,71200,73,2,6,55,4,6
"Watermark At Vistawilla, The",Watermark At Vistawilla The,Winter Springs,Seminole,28.6894,-81.231,99,8,9,42750,39,2,3,28,6,0
Alura Senior Living,Alura Senior Living,Rockledge,Brevard,28.3022,-80.7402,147,8,4,40500,18,2,5,9,0,2
Trinity Garden Inc,Trinity Garden,Hialeah,Miami-Dade,25.8495,-80.2836,40,5,8,38500,33,2,3,26,1,1
Brookdale Destin,Brookdale Destin,Destin,Walton,30.3857,-86.3056,130,3,8,25500,7,2,1,3,0,1
The Terrace At Ivey Acres Of Jay,The Terrace At Ivey Acres Of Jay,Jay,Santa Rosa,30.9497,-87.1481,70,2,2,25000,5,2,1,2,0,0
Oak Manor Senior Living Community,Oak Manor Senior Living Community,Largo,Pinellas,27.8954,-82.8238,150,10,5,23550,24,2,0,19,0,3
Colonial Assisted Living At West Palm Beach Fl,Colonial Assisted Living At West Palm Beach Fl,,Palm Beach,26.7124,-80.0568,152,3,5,22000,10,2,0,8,0,0
"El Paraiso Home, Inc.",El Paraiso Home.,Miami,Miami-Dade,25.8361,-80.3213,14,1,2,21500,11,2,0,9,0,0
The Villa Of Delray Llc,The Villa Of Delray,Delray Beach,Palm Beach,26.4717,-80.1402,14,2,5,21450,11,2,2,5,1,1
Indigo Palms,Indigo Palms,Daytona Beach,Volusia,29.2074,-81.0631,84,5,3,20250,11,2,0,9,0,0
Gold Choice Palm Coast,Gold Choice Palm Coast,Palm Coast,Flagler,29.503,-81.1919,100,2,2,20000,3,2,0,1,0,0
Normandy Estates Assisted Living Llc,Normandy Estates Assisted Living,Miami Beach,Miami-Dade,25.8563,-80.1444,12,5,5,18625,32,2,0,29,0,1
Forest Oaks Of Spring Hill,Forest Oaks Of Spring Hill,Spring Hill,Hernando,28.4917,-82.5885,135,8,5,16550.04,10,2,0,6,2,0
Vitality Living Baypoint Village,Vitality Living Baypoint Village,Hudson,Pasco,28.3333,-82.6835,232,3,2,15500,15,2,0,12,1,0
Fountainview,Fountainview,West Palm Beach,Palm Beach,26.7142,-80.0815,102,3,4,12250,12,2,0,6,1,3
La Milagrosa Home Care Inc,La Milagrosa Home Care,Miami,Miami-Dade,25.766,-80.2502,14,1,3,11250,6,2,0,4,0,0
Villa Serena Iii,Villa Serena Iii,Miami,Miami-Dade,25.8046,-80.2252,13,0,4,10750,4,2,0,2,0,0
"Premier Assisted Living Facility, Llc",Premier Assisted Living Facility,Orange Park,Clay,30.189,-81.7042,100,4,4,10500,11,2,0,9,0,0
Emerald Gardens Home Alf Llc,Emerald Gardens Home ALF,Pensacola,Escambia,30.425,-87.3082,55,1,2,10500,7,2,0,4,0,1
Windermere Memory Care Inc,Windermere Memory Care,Pensacola,Escambia,30.5079,-87.2078,60,3,1,10000,4,2,0,2,0,0
Holy Spirit Assisted Living Health Services,Holy Spirit Assisted Living Health Services,Merritt Is,Brevard,28.3525,-80.698,6,2,10,9000,43,2,0,34,7,0
Grand Villa Of Deerfield Beach,Grand Villa Of Deerfield Beach,Deerfield Beach,Broward,26.3031,-80.1354,240,8,8,5500,11,2,0,7,2,0
H&H Senior Care Llc,H&H Senior Care,Miami,Miami-Dade,25.7277,-80.243,6,1,3,5375,30,2,3,22,2,1
The Pointe,The Pointe,Saint Petersburg,Pinellas,27.8197,-82.7741,100,7,10,3750,18,2,0,12,0,4
Grand Villa Of Delray East,Grand Villa Of Delray East,Delray Beach,Palm Beach,26.4603,-80.1323,170,9,2,1500,12,2,1,8,1,0
Jeanette Boston Alf,Jeanette Boston ALF,Tampa,Hillsborough,28.012,-82.4269,7,2,2,1250,44,2,0,36,1,5
Five Star Assisted Living Facility Inc,Five Star Assisted Living Facility,Miami,Miami-Dade,25.7772,-80.2499,14,1,2,1000,20,2,2,13,1,2
Acacia Grove Assisted Living Facility Llc,Acacia Grove Assisted Living Facility,Orange Park,Clay,30.144,-81.7723,8,1,1,500,9,2,0,7,0,0
Casa Del Campo Llc,Casa Del Campo,,Miami-Dade,25.557,-80.4859,6,1,0,0,12,2,4,6,0,0
Vitality Living Hudson,Vitality Living Hudson,Hudson,Pasco,28.3559,-82.6922,210,3,0,0,13,2,0,10,0,1
"Seasons Gardens Senior Residence, Llc",Seasons Gardens Senior Residence,Miami,Miami-Dade,25.6075,-80.415,180,4,28,134250,23,1,0,18,4,0
Best Care Senior Living At Punta Gorda Llc,Best Care Senior Living At Punta Gorda,Punta Gorda,Charlotte,26.9194,-82.0511,116,17,28,119000,60,1,13,42,4,0
Palmetto Landing,Palmetto Landing,Winter Springs,Seminole,28.646,-81.2735,102,11,10,26616.23,41,1,6,30,3,1
Epworth Village Retirement Community,Epworth Village Retirement Community,Hialeah,Miami-Dade,25.8701,-80.3181,200,2,2,25050,14,1,4,9,0,0
Alf Sunset Palace Llc,ALF Sunset Palace,Miami,Miami-Dade,25.7812,-80.1307,6,0,3,25000,24,1,3,15,4,1
Cloudberry Lodge At Brandon,Cloudberry Lodge At Brandon,,Hillsborough,27.8835,-82.296,79,5,8,24650,22,1,1,18,2,0
Inspired Living,Inspired Living,Ocoee,Orange,28.5391,-81.5545,150,6,8,24000,45,1,2,33,5,4
Green Life Assisted Living,Green Life Assisted Living,Pompano Beach,Broward,26.2197,-80.135,71,4,8,23150,27,1,0,22,3,1
Brookdale Wekiwa Springs,Brookdale Wekiwa Springs,Apopka,Orange,28.6752,-81.4654,97,11,8,21500,54,1,2,47,3,1
Finisterre Alf Llc,Finisterre ALF,Miami,Miami-Dade,25.8012,-80.2015,6,0,5,20500,27,1,2,23,0,1
Sol Naciente Home Inc,Sol Naciente Home,Miami,Miami-Dade,25.7671,-80.1928,6,0,2,20000,10,1,1,8,0,0
"John Knox Village Of Central Florida, Inc.",John Knox Village Of Central Florida.,Orange City,Volusia,28.9392,-81.281,60,1,3,20000,5,1,2,2,0,0
The Palms Assisted Living Corp,The Palms Assisted Living Corp,Hialeah,Miami-Dade,25.8715,-80.326,72,4,9,19500,21,1,2,16,2,0
Lesende Home Care Inc,Lesende Home Care,Miami,Miami-Dade,25.7634,-80.2333,6,0,5,18500,8,1,1,4,2,0
Strive At Fern Park,Strive At Fern Park,Fern Park,Seminole,28.6535,-81.3461,130,5,3,18000,14,1,2,10,1,0
Brookdale Altamonte Springs,Brookdale Altamonte Springs,Altamonte Springs,Seminole,28.6669,-81.4038,115,5,6,17500,17,1,3,9,4,0
Woodlawn Oaks Assisted Living Llc,Woodlawn Oaks Assisted Living,Saint Petersburg,Pinellas,27.7806,-82.654,22,4,3,17000,14,1,1,12,0,0
Fellowship Home At The Fairway,Fellowship Home At The Fairway,Sebring,Highlands,27.5324,-81.5255,175,5,4,16500,17,1,1,14,1,0
Llina'S Alf Llc,Llina'S ALF,Homestead,Miami-Dade,25.4989,-80.4308,6,2,5,15600,13,1,3,8,1,0
Professional Home Alf Inc,Professional Home ALF,Hialeah,Miami-Dade,25.8744,-80.2696,26,4,3,15500,34,1,1,31,1,0
"Royal Place Alf, Inc",Royal Place ALF,Miami,Miami-Dade,25.7482,-80.3575,14,1,3,15500,8,1,1,6,0,0
Excelsior Omega Inc,Excelsior Omega,Sarasota,Sarasota,27.3372,-82.4842,12,3,4,15500,8,1,2,5,0,0
Salmos 23 V Llc,Salmos 23 V,Hialeah,Miami-Dade,25.8407,-80.2806,67,2,13,15000,26,1,0,22,2,1
Alabama Oaks Of Winter Park,Alabama Oaks Of Winter Park,Winter Park,Orange,28.6104,-81.3394,19,2,5,15000,40,1,1,34,2,2
The Blake At Pensacola Operating Company Llc,The Blake At Pensacola Operating Company,Pensacola,Escambia,30.4817,-87.2261,131,4,4,15000,6,1,1,3,0,1
Brookdale Highlands,Brookdale Highlands,Lakeland,Polk,27.9873,-81.9214,105,5,2,13500,15,1,0,10,0,4
Victoria'S Retirement Home Alf,Victoria'S Retirement Home ALF,Lauderhill,Broward,26.1552,-80.2267,32,1,7,13000,13,1,1,9,2,0
The Residences At Miami,The Residences At Miami,Miami,Miami-Dade,25.6794,-80.4501,155,5,4,12000,14,1,1,12,0,0
"Cranes View Lodge, Llc",Cranes View Lodge,Clermont,Lake,28.5421,-81.7275,150,3,3,11500,4,1,0,3,0,0
Sun City Senior Living,Sun City Senior Living,Ruskin,Hillsborough,27.7164,-82.3706,145,8,4,11500,24,1,0,18,0,5
Inspired Living At Bonita Springs,Inspired Living At Bonita Springs,Bonita Springs,Lee,26.3453,-81.8053,84,9,4,11250,20,1,0,17,1,1
Pointe Of North Gables,Pointe Of North Gables,Miami,Miami-Dade,25.7633,-80.2918,126,4,5,11000,36,1,4,31,0,0
Active Senior Living Residence,Active Senior Living Residence,Tamarac,Broward,26.1955,-80.2709,72,4,5,10750,11,1,0,8,0,2
Sunny Hills Alf Of Sebring Inc,Sunny Hills ALF Of Sebring,Sebring,Highlands,27.4693,-81.4368,100,7,2,10750,16,1,0,13,1,1
Sunny Vista Assisted Living Facility Llc,Sunny Vista Assisted Living Facility,Tampa,Hillsborough,28.022,-82.4506,26,1,1,10500,3,1,0,1,0,1
"Lindsay'S Alternative Care, Inc.",Lindsay'S Alternative Care.,Coral Springs,Broward,26.2838,-80.2113,6,1,2,10000,13,1,0,5,5,2
Solaris Senior Living Stuart,Solaris Senior Living Stuart,Stuart,Martin,27.1784,-80.241,100,1,1,10000,5,1,0,4,0,0
Five Star Premier Residences Of Plantation,Five Star Premier Residences Of Plantation,Plantation,Broward,26.1463,-80.2641,70,1,1,10000,2,1,0,1,0,0
Serenades By Sonata - West Orange,Serenades By Sonata - West Orange,Winter Garden,Orange,28.5407,-81.5684,57,2,1,10000,8,1,1,5,1,0
"Grace Manor At Lake Morton, Llc",Grace Manor At Lake Morton,Lakeland,Polk,28.0407,-81.9513,50,5,2,10000,2,1,0,1,0,0
Elevated Estates Spring Hill Llc,Elevated Estates Spring Hill,Spring Hill,Hernando,28.4832,-82.5849,66,1,1,10000,6,1,0,5,0,0
Crossings At Riverview The,Crossings At Riverview The,Riverview,Hillsborough,27.8664,-82.3281,104,10,5,8900,22,1,1,18,0,2
Allegro,Allegro,Parkland,Broward,27.9403,-82.468,120,1,1,7500,7,1,0,3,2,1
Rainbow Heights Home Care Inc,Rainbow Heights Home Care,Miami,Miami-Dade,25.7799,-80.2196,14,0,3,6600,21,1,1,19,0,0
Benton House At Oakleaf,Benton House At Oakleaf,Jacksonville,Duval,30.1912,-81.8456,95,1,3,6000,5,1,0,4,0,0
Gentry Park Orlando,Gentry Park Orlando,Orlando,Orange,28.5043,-81.249,100,2,3,5700,43,1,1,36,5,0
Latam Soag Alf Llc,Latam Soag ALF,Miami,Miami-Dade,25.7937,-80.2755,6,0,3,5500,16,1,0,15,0,0
Central Tampa Assisted Living,Central Tampa Assisted Living,,Hillsborough,27.9915,-82.4146,100,18,3,5375,30,1,5,22,0,2
Sodalis Cantonment,Sodalis Cantonment,Cantonment,Escambia,30.5348,-87.3034,44,3,1,5000,11,1,0,8,0,2
Loving Heart Corp,Loving Heart Corp,Homestead,Miami-Dade,25.5038,-80.4717,6,1,4,4750,33,1,2,29,1,0
Mi Casa Dorada Assisted Living Facility Corp,Mi Casa Dorada Assisted Living Facility Corp,Miami,Miami-Dade,25.7013,-80.3475,6,0,1,4000,3,1,0,2,0,0
Ohana Assisted Living,Ohana Assisted Living,Tampa,Hillsborough,28.0278,-82.4351,8,1,1,4000,13,1,0,10,0,2
Pacifica Senior Living Sunrise,Pacifica Senior Living Sunrise,Sunrise,Broward,26.1769,-80.2646,200,1,10,3500,22,1,0,12,8,1
Pure Restoration Assisted Living Of Crystal River,Pure Restoration Assisted Living Of Crystal River,Crystal River,Citrus,28.8959,-82.5783,12,1,2,3000,1,1,0,0,0,0
Hillside Gardens Ii,Hillside Gardens Ii,Clearwater,Pinellas,27.9822,-82.7167,6,1,1,1500,12,1,1,6,1,3
Somerset Community Assisted Living And Memory Care,Somerset Community Assisted Living And Memory Care,Zephyrhills,Pasco,28.2095,-82.2416,6,1,2,1300,17,1,0,13,0,3
Paradise Of Cristalina Alf Llc,Paradise Of Cristalina ALF,Miami,Miami-Dade,25.7686,-80.2641,6,3,1,750,32,1,1,27,1,2
Bayou Gardens,Bayou Gardens,Palm Harbor,Pinellas,28.0793,-82.7441,41,4,1,500,12,1,0,7,1,3
Embassy Retirement Home Of Margate,Embassy Retirement Home Of Margate,Margate,Broward,26.2402,-80.2063,35,1,1,250,1,1,0,0,0,0
Vizcaya By The Sea,Vizcaya By The Sea,Pompano Beach,Broward,26.2527,-80.0867,85,1,0,0,7,1,0,4,1,1
Andalusia Alf Inc,Andalusia ALF,Hialeah,Miami-Dade,25.8744,-80.2696,6,1,0,0,17,1,0,15,1,0
Discovery Village At Deerwood,Discovery Village At Deerwood,Jacksonville,Duval,30.242,-81.5388,172,2,0,0,3,1,0,1,0,1
"Certus Mtd Opco, Llc",Certus Mtd Opco,,Lake,28.821,-81.6804,70,2,1,0,4,1,0,3,0,0
Home Sweet Home A.L.F.,Home Sweet Home A.L.F.,Chipley,Washington,30.6696,-85.5686,9,2,0,0,16,1,1,12,0,2
Homestead Village Retirement Community,Homestead Village Retirement Community,Pensacola,Escambia,30.5142,-87.31,180,5,0,0,3,1,0,2,0,0
Brennity At Melbourne (The),Brennity At Melbourne (The),Melbourne,Brevard,28.2289,-80.7399,96,12,16,56250,68,0,3,58,5,2
Brookdale Lake Orienta,Brookdale Lake Orienta,Altamonte Springs,Seminole,28.6615,-81.3706,170,10,21,43875,70,0,6,50,9,5
"Truewood By Merrill, Port Charlotte",Truewood By Merrill Port Charlotte,Port Charlotte,Charlotte,26.9861,-82.097,125,3,7,43000,24,0,0,22,1,1
Brookshire (The),Brookshire (The),Melbourne,Brevard,28.0881,-80.6191,135,16,18,38739.19,71,0,1,60,7,3
Dr Phillips Residential Living Inc Ii,Dr Phillips Residential Living Ii,Orlando,Orange,28.5375,-81.3769,6,0,9,35500,20,0,2,12,1,5
Ambiance At Maitland,Ambiance At Maitland,Maitland,Orange,28.6342,-81.3853,116,18,9,34500,52,0,5,45,1,1
Beneva Lakes Assisted Living Center,Beneva Lakes Assisted Living Center,Sarasota,Sarasota,27.328,-82.4955,120,8,10,34500,22,0,4,17,1,0
Brookdale West Melbourne,Brookdale West Melbourne,West Melbourne,Brevard,28.0937,-80.6751,42,4,10,32000,26,0,3,19,4,0
Spring Hills Lake Mary,Spring Hills Lake Mary,Lake Mary,Seminole,28.7554,-81.3424,102,10,6,28388.55,27,0,1,24,1,1
Windsor At Celebration,Windsor At Celebration,Celebration,Osceola,28.3158,-81.5587,123,3,15,27300,49,0,2,41,1,5
Woodlands (The),Woodlands (The),Cape Coral,Lee,26.6361,-81.9725,110,18,8,26000,55,0,2,47,3,3
Bethesda On Turkey Creek,Bethesda On Turkey Creek,Palm Bay,Brevard,28.0273,-80.5853,109,13,9,24300,49,0,2,39,7,1
Memory Care Of Naples,Memory Care Of Naples,Naples,Collier,26.1778,-81.7908,54,3,4,24102.43,5,0,0,3,2,0
Azalea Manor,Azalea Manor,Orlando,Orange,28.5428,-81.307,75,4,7,23000,25,0,1,23,0,1
Vitality Living Lake Forest,Vitality Living Lake Forest,Sanford,Seminole,28.8103,-81.3558,220,5,8,22350,37,0,4,29,4,0
New Era Community Health Center Llc,New Era Community Health Center,Homestead,Miami-Dade,25.4832,-80.4772,200,5,8,22000,25,0,2,22,1,0
Brookdale Colonial Park,Brookdale Colonial Park,Sarasota,Sarasota,27.2979,-82.4738,110,0,4,21000,15,0,4,9,2,0
Brookdale Phillippi Creek,Brookdale Phillippi Creek,Sarasota,Sarasota,27.2743,-82.5132,127,13,8,20550,28,0,2,25,1,0
Somerby Lake Nona,Somerby Lake Nona,Orlando,Orange,28.4249,-81.2538,89,12,5,20500,34,0,2,28,2,2
Central Palace Residential,Central Palace Residential,,Miami-Dade,25.7646,-80.2697,55,0,12,20430,17,0,3,13,1,0
Savannah Court Of St Cloud,Savannah Court Of St Cloud,Saint Cloud,Osceola,28.2322,-81.3169,36,2,5,19300,57,0,2,49,5,1
Cape West Llc,Cape West,,Lee,26.5656,-81.9898,12,1,8,19125,27,0,0,25,1,1
Discovery Village At Melbourne,Discovery Village At Melbourne,Melbourne,Brevard,28.1604,-80.6441,203,2,10,19108.13,32,0,1,23,4,4
Good Samaritan Society-Kissimmee Village,Good Samaritan Society-Kissimmee Village,Kissimmee,Osceola,28.2586,-81.4486,44,0,5,19000,30,0,0,27,0,3
Hudson Manor,Hudson Manor,Tampa,Hillsborough,28.3467,-82.6174,66,5,6,18750,17,0,1,15,0,1
Hazel Cypen Tower,Hazel Cypen Tower,Miami,Miami-Dade,25.8228,-80.1923,132,4,7,18550,17,0,4,13,0,0
Brookdale West Melbourne,Brookdale West Melbourne,Melbourne,Brevard,28.0937,-80.6751,55,2,5,18500,19,0,2,13,2,2
The Pavilion Of Downtown Venice,The Pavilion Of Downtown Venice,Venice,Sarasota,27.1012,-82.4473,90,16,4,18250,26,0,5,19,1,1
Georgia'S Place,Georgia'S Place,Saint Petersburg,Pinellas,27.7491,-82.6427,19,1,7,17875,7,0,1,4,0,2
Savannah Cottage Of Lakeland,Savannah Cottage Of Lakeland,Lakeland,Polk,28.0956,-81.9624,38,17,10,17650,56,0,2,49,2,3
"Sunniland Assisted Living Facility, Llc",Sunniland Assisted Living Facility,Sarasota,Sarasota,27.2857,-82.4838,6,0,2,17250,2,0,0,1,1,0
Madison At Ocoee,Madison At Ocoee,Ocoee,Orange,28.5706,-81.5185,105,4,10,17150,43,0,3,32,6,2
"Spring Of Life Care, Inc.",Spring Of Life Care.,Miami,Miami-Dade,25.7144,-80.38,6,2,4,17000,40,0,3,34,1,2
Harborside At Melbourne,Harborside At Melbourne,Melbourne,Brevard,28.094,-80.6111,165,2,7,17000,15,0,2,10,3,0
Brookdale Dr Phillips Mc,Brookdale Dr Phillips Mc,Orlando,Orange,28.4856,-81.4925,40,4,7,16500,28,0,4,17,7,0
"A Place Like Home Alf, Inc",A Place Like Home ALF,Palm Bay,Brevard,28.0154,-80.592,6,3,9,16050,48,0,1,40,3,4
Riverview Senior Resort,Riverview Senior Resort,Palm Bay,Brevard,28.0171,-80.5669,140,2,10,16000,30,0,1,26,2,1
Little Havana Alf Inc,Little Havana ALF,Miami,Miami-Dade,25.7636,-80.238,14,1,1,15500,8,0,3,4,1,0
Chloes Place I Llc,Chloes Place I,,Brevard,28.3728,-80.7708,8,0,9,15000,22,0,1,15,5,1
Oakview Terrace,Oakview Terrace,New Port Richey,Pasco,28.2361,-82.6953,135,20,9,15000,35,0,1,32,0,2
Superior Residences Of Niceville,Superior Residences Of Niceville,Niceville,Okaloosa,30.5305,-86.4616,80,1,1,15000,8,0,3,5,0,0
Calvinelle South Alf Inc,Calvinelle South ALF,,Miami-Dade,25.8131,-80.2251,10,2,3,14500,23,0,2,19,1,1
Eastside Care Alf,Eastside Care ALF,Lake City,Columbia,30.1864,-82.6072,45,0,2,14500,0,0,0,0,0,0
Madison At Oviedo,Madison At Oviedo,Oviedo,Seminole,28.647,-81.2532,85,5,6,14150,39,0,3,27,6,3
Encore At Avalon Park,Encore At Avalon Park,Orlando,Orange,28.514,-81.1568,110,3,5,14000,19,0,2,15,2,0
Keystone Villas Assisted Living Center,Keystone Villas Assisted Living Center,Kissimmee,Osceola,28.3179,-81.4144,50,6,8,13700,38,0,1,31,3,3
Great American Assisted Living Community At Bradenton Llc,Great American Assisted Living Community At Bradenton,Bradenton,Manatee,27.4946,-82.5527,135,27,11,13650,38,0,1,35,2,0
Sloan Home Of Central Florida Inc,Sloan Home Of Central Florida,Orlando,Orange,28.545,-81.475,6,3,4,13100,38,0,2,30,4,2
Excellence Assisted Living Facility,Excellence Assisted Living Facility,Orlando,Orange,28.5188,-81.3119,185,4,7,13000,33,0,2,31,0,0
Elevated Estates Of New Port Richey Llc,Elevated Estates Of New Port Richey,New Port Richey,Pasco,28.2221,-82.6915,90,3,8,12550,34,0,0,28,2,4
Bridge Assisted Living At Life Care Center Of Orlando (The),Bridge Assisted Living At Life Care Center Of Orlando (The),Orlando,Orange,28.6299,-81.3971,114,3,5,12500,30,0,1,26,3,0
Elderly R Us Llc,Elderly R Us,Miami,Miami-Dade,25.749,-80.3372,6,1,8,12487.5,15,0,2,12,1,0
"San Jean Facility Care, Inc",San Jean Facility Care,Orlando,Orange,28.5176,-81.3906,54,4,6,12250,26,0,1,21,4,0
Pacifica Senior Living Of Palm Beach,Pacifica Senior Living Of Palm Beach,Greenacres,Palm Beach,26.6067,-80.1461,98,11,11,12000,41,0,1,34,4,2
Heron House Of Largo,Heron House Of Largo,Largo,Pinellas,27.917,-82.7664,145,25,14,12000,39,0,1,37,1,0
Superior Residences Of Brandon Memory Care,Superior Residences Of Brandon Memory Care,Brandon,Hillsborough,27.9083,-82.3176,70,8,10,11750,30,0,0,29,0,1
Artis Senior Living Of Davie Llc,Artis Senior Living Of Davie,Davie,Broward,26.0849,-80.3116,72,0,1,11500,6,0,0,5,0,1
"Harmony Retirement Living, Inc",Harmony Retirement Living,Orlando,Orange,28.5257,-81.3452,16,3,9,11500,31,0,1,20,8,2
The Elite Alf At Naples Llc,The Elite ALF At Naples,Naples,Collier,26.1413,-81.8015,70,3,2,11500,11,0,4,4,2,1
"Freshwater At Hudson Alf, Llc",Freshwater At Hudson ALF,Hudson,Pasco,28.3623,-82.6986,17,2,10,11500,23,0,0,22,1,0
Garden Walk Assisted Living Corp,Garden Walk Assisted Living Corp,Hialeah,Miami-Dade,25.8715,-80.326,34,4,8,11250,25,0,1,24,0,0
Grand Villa Of Altamonte Springs,Grand Villa Of Altamonte Springs,Altamonte Springs,Seminole,28.6616,-81.3768,180,5,5,11150,22,0,3,15,4,0
"Care And Love Retirement Home, Llc",Care And Love Retirement Home,,Miami-Dade,25.8409,-80.269,20,5,10,11050,36,0,2,31,3,0
Presidential Place,Presidential Place,Hollywood,Broward,26.0078,-80.1823,118,3,9,11000,32,0,2,25,5,0
Serenity Stay Alf Llc,Serenity Stay ALF,Miami,Miami-Dade,25.7872,-80.2244,6,0,3,11000,19,0,1,17,0,1
Palm Bay Memory Care,Palm Bay Memory Care,Palm Bay,Brevard,27.997,-80.679,98,7,4,11000,37,0,3,27,4,3
Naples Green Village,Naples Green Village,Naples,Collier,26.2743,-81.7721,72,7,4,11000,22,0,2,19,0,1
Toria'S Assisted Living Facility Ii,Toria'S Assisted Living Facility Ii,Brandon,Hillsborough,27.9468,-82.2773,7,2,6,11000,26,0,1,22,0,3
Allegro Winter Park,Allegro Winter Park,Winter Park,Seminole,28.6262,-81.3108,105,1,4,10700,14,0,2,10,2,0
Addington Place Of Titusville,Addington Place Of Titusville,Titusville,Brevard,28.6205,-80.8163,90,4,5,10650,29,0,2,18,4,5
Eastside Active Living,Eastside Active Living,Hollywood,Broward,26.0255,-80.1389,90,8,5,10500,25,0,2,15,6,2
Victoria Landing Alf,Victoria Landing ALF,Melbourne,Brevard,28.1279,-80.6246,155,5,3,10500,14,0,3,10,0,1
Crescent Wood,Crescent Wood,Titusville,Brevard,28.5873,-80.8236,70,4,8,10500,22,0,1,20,1,0
Spring Hills Hunter'S Creek,Spring Hills Hunter'S Creek,Orlando,Orange,28.3643,-81.4221,108,1,3,10500,22,0,3,13,3,3
The Fountains Of Hope,The Fountains Of Hope,Sarasota,Sarasota,27.3501,-82.4434,116,2,2,10500,16,0,2,13,1,0
"Neurointernational Healthcare, Llc",Neurointernational Healthcare,Sarasota,Sarasota,27.3368,-82.5329,10,2,2,10250,7,0,2,4,1,0
Inspired Living At Hidden Lakes,Inspired Living At Hidden Lakes,Bradenton,Manatee,27.4448,-82.5738,68,5,5,10150,8,0,2,6,0,0
Gardens Of Eastbrooke,Gardens Of Eastbrooke,Casselberry,Seminole,28.6769,-81.3324,78,3,3,10050,20,0,2,17,1,0
