nursing_home,nursing_home_label,city,region,county,latitude,longitude,overall_inspection,quality_of_care,quality_of_life,administration,nutrition_and_hydration,restraints_and_abuse,pressure_ulcers,decline,dignity
Promedica Skilled Nursing And Rehabilitation (Ft. Myers West),Promedica Skilled Nursing And Rehabilitation (Ft. Myers West),Fort Myers,Region 8,Lee,26.5886807,-81.8809322,_____,_____,_____,_____,_____,_____,_____,_____,_____
Promedica Skilled Nursing And Rehabilitation (Naples),Promedica Skilled Nursing And Rehabilitation (Naples),Naples,Region 8,Collier,26.1158285,-81.7536551,_____,_____,_____,_____,_____,_____,_____,_____,_____
Sandgate Gardens Rehab And Nursing Center,Sandgate Gardens Rehab And Nursing Center,Fort Pierce,Region 9,St. Lucie,27.441534,-80.354757,_____,_____,_____,_____,_____,_____,_____,_____,_____
Seabranch Health And Rehabilitation Center,Seabranch Health And Rehabilitation Center,Stuart,Region 9,Martin,27.1418611,-80.1892187,_____,_____,_____,_____,_____,_____,_____,_____,_____
Seaview Nursing And Rehabilitation Center,Seaview Nursing And Rehabilitation Center,Pompano Beach,Region 10,Broward,26.233816,-80.09954,_____,_____,_____,_____,_____,_____,_____,_____,_____
Shoreside Health And Rehabilitation Center,Shoreside Health And Rehabilitation Center,Miami,Region 11,Miami-Dade,25.8787994,-80.193428,_____,_____,_____,_____,_____,_____,_____,_____,_____
Solaris Healthcare Charlotte Harbor,Solaris Healthcare Charlotte Harbor,Port Charlotte,Region 8,Charlotte,26.9712115,-82.0661762,_____,_____,_____,_____,_____,_____,_____,_____,_____
Solaris Healthcare Parkway,Solaris Healthcare Parkway,Stuart,Region 9,Martin,27.1778098,-80.2421965,_____,_____,_____,_____,_____,_____,_____,_____,_____
Willowbrooke Court At Indian River Estates,Willowbrooke Court At Indian River Estates,Vero Beach,Region 9,Indian River,27.6425097,-80.4806287,_____,_____,_____,_____,_____,_____,_____,_____,_____
Abbey Delray,Abbey Delray,Delray Beach,Region 9,Palm Beach,26.44538,-80.09388,_____,_____,_____,_____,_____,_____,_____,_____,_____
Adventhealth Care Center Apopka South,Adventhealth Care Center Apopka South,Apopka,Region 7,Seminole,28.670482,-81.4463362,_____,_____,_____,_____,_____,_____,_____,_____,_____
Apopka Health And Rehabilitation Center,Apopka Health And Rehabilitation Center,Apopka,Region 7,Orange,28.6455467,-81.5365738,_____,_____,_____,_____,_____,_____,_____,_____,_____
Balanced Healthcare,Balanced Healthcare,Saint Petersburg,Region 5,Pinellas,27.8106795,-82.7290263,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bardmoor Oaks Healthcare And Rehabilitation Center,Bardmoor Oaks Healthcare And Rehabilitation Center,Largo,Region 5,Pinellas,27.873043,-82.7641,_____,_____,_____,_____,_____,_____,_____,_____,_____
Boynton Beach Rehabilitation Center,Boynton Beach Rehabilitation Center,Boynton Beach,Region 9,Palm Beach,26.5332237,-80.1056415,_____,_____,_____,_____,_____,_____,_____,_____,_____
Brandon Health And Rehabilitation Center,Brandon Health And Rehabilitation Center,Brandon,Region 6,Hillsborough,27.93354,-82.3076,_____,_____,_____,_____,_____,_____,_____,_____,_____
Clearwater Center,Clearwater Center,Clearwater,Region 5,Pinellas,27.959686,-82.7841569,_____,_____,_____,_____,_____,_____,_____,_____,_____
Dade City Health And Rehabilitation Center,Dade City Health And Rehabilitation Center,Dade City,Region 5,Pasco,28.3583707,-82.2010577,_____,_____,_____,_____,_____,_____,_____,_____,_____
Deerfield Beach Health And Rehabilitation Center,Deerfield Beach Health And Rehabilitation Center,Pompano Beach,Region 10,Broward,26.2754138,-80.1180305,_____,_____,_____,_____,_____,_____,_____,_____,_____
East Bay Rehabilitation Center,East Bay Rehabilitation Center,Clearwater,Region 5,Pinellas,27.9191847,-82.7404473,_____,_____,_____,_____,_____,_____,_____,_____,_____
Egret Cove Center,Egret Cove Center,Saint Petersburg,Region 5,Pinellas,27.7653154,-82.7199502,_____,_____,_____,_____,_____,_____,_____,_____,_____
Fletcher Health And Rehabilitation Center,Fletcher Health And Rehabilitation Center,Tampa,Region 6,Hillsborough,28.068884,-82.46501,_____,_____,_____,_____,_____,_____,_____,_____,_____
Hamlin Place Of Boynton Beach,Hamlin Place Of Boynton Beach,Lantana,Region 9,Palm Beach,26.5715476,-80.0773166,_____,_____,_____,_____,_____,_____,_____,_____,_____
Harbor Beach Nursing And Rehabilitation Center,Harbor Beach Nursing And Rehabilitation Center,Ft Lauderdale,Region 10,Broward,26.101536,-80.13442,_____,_____,_____,_____,_____,_____,_____,_____,_____
Hawthorne Center For Rehabilitation And Healing Of Brandon,Hawthorne Center For Rehabilitation And Healing Of Brandon,Brandon,Region 6,Hillsborough,27.9215612,-82.2985919,_____,_____,_____,_____,_____,_____,_____,_____,_____
Heather Hill Healthcare Center,Heather Hill Healthcare Center,New Port Richey,Region 5,Pasco,28.256396,-82.704793,_____,_____,_____,_____,_____,_____,_____,_____,_____
Heritage Healthcare And Rehabilitation Center,Heritage Healthcare And Rehabilitation Center,Naples,Region 8,Collier,26.1569665,-81.7975958,_____,_____,_____,_____,_____,_____,_____,_____,_____
Highlands Lake Center,Highlands Lake Center,Lakeland,Region 6,Polk,27.988199,-81.922239,_____,_____,_____,_____,_____,_____,_____,_____,_____
Jupiter Rehabilitation And Healthcare Center,Jupiter Rehabilitation And Healthcare Center,Jupiter,Region 9,Palm Beach,26.9384082,-80.1274377,_____,_____,_____,_____,_____,_____,_____,_____,_____
Kissimmee Health And Rehabilitation Center,Kissimmee Health And Rehabilitation Center,Kissimmee,Region 7,Osceola,28.2974799,-81.4045876,_____,_____,_____,_____,_____,_____,_____,_____,_____
Lakeside Oaks Care Center,Lakeside Oaks Care Center,Dunedin,Region 5,Pinellas,28.011774,-82.77012,_____,_____,_____,_____,_____,_____,_____,_____,_____
Legacy At Boca Raton Rehabilitation And Nursing Center (The),Legacy At Boca Raton Rehabilitation And Nursing Center (The),Boca Raton,Region 9,Palm Beach,26.3604494,-80.1441576,_____,_____,_____,_____,_____,_____,_____,_____,_____
Life Care Center At Inverrary,Life Care Center At Inverrary,Lauderhill,Region 10,Broward,26.1778458,-80.2209212,_____,_____,_____,_____,_____,_____,_____,_____,_____
Life Care Center Of Altamonte Springs,Life Care Center Of Altamonte Springs,Altamonte Springs,Region 7,Seminole,28.661558,-81.3587842,_____,_____,_____,_____,_____,_____,_____,_____,_____
Life Care Center Of Sarasota,Life Care Center Of Sarasota,Sarasota,Region 6,Manatee,27.3949448,-82.5144987,_____,_____,_____,_____,_____,_____,_____,_____,_____
Nspire Healthcare Plantation,Nspire Healthcare Plantation,Plantation,Region 10,Broward,26.149332,-80.243446,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Oaks Of Clearwater, The",Oaks Of Clearwater,Clearwater,Region 5,Pinellas,27.9617502,-82.8030112,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palm Garden Of Tampa,Palm Garden Of Tampa,Tampa,Region 6,Hillsborough,28.0734667,-82.4191443,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Palms Of Sebring, The",Palms Of Sebring,Sebring,Region 6,Highlands,27.4923892,-81.4410929,_____,_____,_____,_____,_____,_____,_____,_____,_____
Rehabilitation And Healthcare Center Of Tampa,Rehabilitation And Healthcare Center Of Tampa,Tampa,Region 6,Hillsborough,27.975792,-82.433016,_____,_____,_____,_____,_____,_____,_____,_____,_____
Renaissance Health And Rehabilitation,Renaissance Health And Rehabilitation,West Palm Beach,Region 9,Palm Beach,26.68176,-80.121376,_____,_____,_____,_____,_____,_____,_____,_____,_____
Ridge Haven Health And Rehabilitation Center,Ridge Haven Health And Rehabilitation Center,New Port Richey,Region 5,Pasco,28.230647,-82.7035206,_____,_____,_____,_____,_____,_____,_____,_____,_____
Rio Pinar Health Care,Rio Pinar Health Care,Orlando,Region 7,Orange,28.537546,-81.27871,_____,_____,_____,_____,_____,_____,_____,_____,_____
Riviera Palms Rehabilitation Center,Riviera Palms Rehabilitation Center,Palmetto,Region 6,Manatee,27.519521,-82.5514157,_____,_____,_____,_____,_____,_____,_____,_____,_____
Royal Oaks Nursing And Rehab Center,Royal Oaks Nursing And Rehab Center,Titusville,Region 7,Brevard,28.5715002,-80.8287085,_____,_____,_____,_____,_____,_____,_____,_____,_____
Scott Lake Health And Rehabilitation,Scott Lake Health And Rehabilitation,Lakeland,Region 6,Polk,27.9543258,-81.9530395,_____,_____,_____,_____,_____,_____,_____,_____,_____
Solaris Healthcare Bayonet Point,Solaris Healthcare Bayonet Point,Hudson,Region 5,Pasco,28.3368786,-82.6956743,_____,_____,_____,_____,_____,_____,_____,_____,_____
Stratford Court Of Boca Raton,Stratford Court Of Boca Raton,Boca Raton,Region 9,Palm Beach,26.3307338,-80.1443412,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Tamarac Rehabilitation And Health Center, Inc.","Tamarac Rehabilitation And Health Center, Inc.",Tamarac,Region 10,Broward,26.2194448,-80.2743062,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Terrace Of St Cloud, The",Terrace Of St Cloud,Saint Cloud,Region 7,Osceola,28.233587,-81.3169452,_____,_____,_____,_____,_____,_____,_____,_____,_____
The Gardens At Depugh Nursing,The Gardens At Depugh Nursing,Winter Park,Region 7,Orange,28.5974266,-81.3564788,_____,_____,_____,_____,_____,_____,_____,_____,_____
Valencia Hills Health And Rehabilitation Center,Valencia Hills Health And Rehabilitation Center,Lakeland,Region 6,Polk,28.096178,-81.9785995,_____,_____,_____,_____,_____,_____,_____,_____,_____
Vista Manor,Vista Manor,Titusville,Region 7,Brevard,28.627728,-80.819466,_____,_____,_____,_____,_____,_____,_____,_____,_____
Westminster Manor Of Bradenton,Westminster Manor Of Bradenton,Bradenton,Region 6,Manatee,27.4818126,-82.579074,_____,_____,_____,_____,_____,_____,_____,_____,_____
Winter Garden Rehabilitation And Nursing Center,Winter Garden Rehabilitation And Nursing Center,Winter Garden,Region 7,Orange,28.5518098,-81.5705102,_____,_____,_____,_____,_____,_____,_____,_____,_____
Wright'S Healthcare & Rehabilitation Center,Wright'S Healthcare & Rehabilitation Center,Seminole,Region 5,Pinellas,27.8726081,-82.7960128,_____,_____,_____,_____,_____,_____,_____,_____,_____
Clyde E Lassen State Veterans Nursing Home,Clyde E Lassen State Veterans Nursing Home,Saint Augustine,Region 4,St. Johns,29.9605742,-81.4675089,_____,_____,_____,_____,_____,_____,_____,_____,_____
Grand Oaks Health And Rehabilitation Center,Grand Oaks Health And Rehabilitation Center,Palm Coast,Region 4,Flagler,29.558014,-81.19672,_____,_____,_____,_____,_____,_____,_____,_____,_____
Hampton Court Nursing And Rehabilitation Center,Hampton Court Nursing And Rehabilitation Center,North Miami Beach,Region 11,Miami-Dade,25.92294,-80.2049774,_____,_____,_____,_____,_____,_____,_____,_____,_____
Harts Harbor Health Care Center,Harts Harbor Health Care Center,Jacksonville,Region 4,Duval,30.444853,-81.656685,_____,_____,_____,_____,_____,_____,_____,_____,_____
Nspire Healthcare Miami Lakes,Nspire Healthcare Miami Lakes,Hialeah,Region 11,Miami-Dade,25.943327,-80.294983,_____,_____,_____,_____,_____,_____,_____,_____,_____
Oak Haven Rehab And Nursing Center,Oak Haven Rehab And Nursing Center,Auburndale,Region 6,Polk,28.0592566,-81.7710982,_____,_____,_____,_____,_____,_____,_____,_____,_____
Oaktree Healthcare,Oaktree Healthcare,South Daytona,Region 4,Volusia,29.1588523,-81.0033973,_____,_____,_____,_____,_____,_____,_____,_____,_____
Regents Park Of Jacksonville,Regents Park Of Jacksonville,Jacksonville,Region 4,Duval,30.2447651,-81.553558,_____,_____,_____,_____,_____,_____,_____,_____,_____
Riviera Health Resort,Riviera Health Resort,Coral Gables,Region 11,Miami-Dade,25.7053975,-80.2820246,_____,_____,_____,_____,_____,_____,_____,_____,_____
San Jose Health And Rehabilitation Center,San Jose Health And Rehabilitation Center,Jacksonville,Region 4,Duval,30.208376,-81.61563,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Sands At South Beach Care Center, The",Sands At South Beach Care Center,Miami Beach,Region 11,Miami-Dade,25.7694309,-80.1342863,_____,_____,_____,_____,_____,_____,_____,_____,_____
University Health And Rehabilitation Center,University Health And Rehabilitation Center,Miami,Region 11,Miami-Dade,25.7934982,-80.2077093,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Victoria Nursing & Rehabilitation Center, Inc.","Victoria Nursing & Rehabilitation Center, Inc.",Miami,Region 11,Miami-Dade,25.7766177,-80.2106385,_____,_____,_____,_____,_____,_____,_____,_____,_____
Vivo Healthcare Orange Park,Vivo Healthcare Orange Park,Orange Park,Region 4,Clay,30.1860305,-81.707988,_____,_____,_____,_____,_____,_____,_____,_____,_____
Vivo Healthcare University,Vivo Healthcare University,Jacksonville,Region 4,Duval,30.2879721,-81.6033167,_____,_____,_____,_____,_____,_____,_____,_____,_____
Abbey Delray South,Abbey Delray South,Delray Beach,Region 9,Palm Beach,26.4371855,-80.0996913,_____,_____,_____,_____,_____,_____,_____,_____,_____
Abbey Rehabilitation And Nursing Center,Abbey Rehabilitation And Nursing Center,Saint Petersburg,Region 5,Pinellas,27.8364719,-82.6463502,_____,_____,_____,_____,_____,_____,_____,_____,_____
Advanced Care Center And Rehab,Advanced Care Center And Rehab,Clearwater,Region 5,Pinellas,27.9699817,-82.7221962,_____,_____,_____,_____,_____,_____,_____,_____,_____
Adventhealth Care Center Apopka North,Adventhealth Care Center Apopka North,Apopka,Region 7,Orange,28.6812992,-81.504219,_____,_____,_____,_____,_____,_____,_____,_____,_____
Adventhealth Care Center Celebration,Adventhealth Care Center Celebration,Kissimmee,Region 7,Osceola,28.3160988,-81.5576295,_____,_____,_____,_____,_____,_____,_____,_____,_____
Adventhealth Care Center Orlando East,Adventhealth Care Center Orlando East,Orlando,Region 7,Orange,28.6035206,-81.3908989,_____,_____,_____,_____,_____,_____,_____,_____,_____
Adventhealth Care Center Orlando North,Adventhealth Care Center Orlando North,Orlando,Region 7,Orange,28.6035206,-81.3908989,_____,_____,_____,_____,_____,_____,_____,_____,_____
Adventhealth Care Center Waterman,Adventhealth Care Center Waterman,Tavares,Region 3,Lake,28.8271646,-81.7136472,_____,_____,_____,_____,_____,_____,_____,_____,_____
Adventhealth Care Center Zephyrhills North,Adventhealth Care Center Zephyrhills North,Zephyrhills,Region 5,Pasco,28.2644677,-82.1825862,_____,_____,_____,_____,_____,_____,_____,_____,_____
Adventhealth Care Center Zephyrhills South,Adventhealth Care Center Zephyrhills South,Zephyrhills,Region 5,Pasco,28.2644677,-82.1825862,_____,_____,_____,_____,_____,_____,_____,_____,_____
Advinia Care At Venice,Advinia Care At Venice,Venice,Region 8,Sarasota,27.1015608,-82.4184713,_____,_____,_____,_____,_____,_____,_____,_____,_____
Adviniacare At Naples,Adviniacare At Naples,Naples,Region 8,Collier,26.2396114,-81.7695509,_____,_____,_____,_____,_____,_____,_____,_____,_____
Aidan Post-Acute And Rehabilitation Center,Aidan Post-Acute And Rehabilitation Center,Fort Pierce,Region 9,St. Lucie,27.4410782,-80.3534842,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Alexander ""Sandy"" Nininger State Veterans Nursing Home","Alexander ""Sandy"" Nininger State Veterans Nursing Home",Pembroke Pines,Region 10,Broward,26.0043947,-80.2539994,_____,_____,_____,_____,_____,_____,_____,_____,_____
Alpine Health And Rehabilitation Center,Alpine Health And Rehabilitation Center,Saint Petersburg,Region 5,Pinellas,27.7492695,-82.6805709,_____,_____,_____,_____,_____,_____,_____,_____,_____
Ambassador Healthcare At College Park,Ambassador Healthcare At College Park,Fort Myers,Region 8,Lee,26.5492443,-81.8881305,_____,_____,_____,_____,_____,_____,_____,_____,_____
Anchor Care & Rehabilitation Center,Anchor Care & Rehabilitation Center,Palm Bay,Region 7,Brevard,28.0197189,-80.6048706,_____,_____,_____,_____,_____,_____,_____,_____,_____
Apollo Healthcare & Rehabilitation Center,Apollo Healthcare & Rehabilitation Center,Saint Petersburg,Region 5,Pinellas,27.730881,-82.639015,_____,_____,_____,_____,_____,_____,_____,_____,_____
Arbor Springs Health And Rehabilitation Center,Arbor Springs Health And Rehabilitation Center,Ocala,Region 3,Marion,29.161742,-82.117184,_____,_____,_____,_____,_____,_____,_____,_____,_____
Arbor Trail Rehab And Skilled Nursing Center,Arbor Trail Rehab And Skilled Nursing Center,Inverness,Region 3,Citrus,28.8468802,-82.3374253,_____,_____,_____,_____,_____,_____,_____,_____,_____
Arcadia Health And Rehabilitation Center,Arcadia Health And Rehabilitation Center,Pensacola,Region 1,Escambia,30.5401933,-87.2135772,_____,_____,_____,_____,_____,_____,_____,_____,_____
Ascension Living St. Catherine Laboure' Place,Ascension Living St. Catherine Laboure' Place,Jacksonville,Region 4,Duval,30.3087539,-81.6878814,_____,_____,_____,_____,_____,_____,_____,_____,_____
Atlantic Shores Nursing And Rehab Center,Atlantic Shores Nursing And Rehab Center,Melbourne,Region 7,Brevard,28.0469263,-80.6282125,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Avante At Boca Raton, Inc.","Avante At Boca Raton, Inc.",Boca Raton,Region 9,Palm Beach,26.3629364,-80.1093713,_____,_____,_____,_____,_____,_____,_____,_____,_____
Avante At Inverness Inc,Avante At Inverness Inc,Inverness,Region 3,Citrus,28.8316669,-82.3356473,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Avante At Lake Worth, Inc.","Avante At Lake Worth, Inc.",Lake Worth,Region 9,Palm Beach,26.6439949,-80.0646566,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Avante At Leesburg, Inc","Avante At Leesburg, Inc",Leesburg,Region 3,Lake,28.8071698,-81.8951119,_____,_____,_____,_____,_____,_____,_____,_____,_____
Avante At Melbourne Inc,Avante At Melbourne Inc,Melbourne,Region 7,Brevard,28.0861955,-80.615655,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Avante At Mt Dora, Inc.","Avante At Mt Dora, Inc.",Mount Dora,Region 3,Lake,28.8093245,-81.6758362,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Avante At Ocala, Inc","Avante At Ocala, Inc",Ocala,Region 3,Marion,29.1674479,-82.1357331,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Avante At Ormond Beach, Inc","Avante At Ormond Beach, Inc",Ormond Beach,Region 4,Volusia,29.2826704,-81.0817212,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Avante At St. Cloud, Inc.","Avante At St. Cloud, Inc.",Saint Cloud,Region 7,Osceola,28.2453681,-81.3028895,_____,_____,_____,_____,_____,_____,_____,_____,_____
Avante Villa At Jacksonville Beach Inc,Avante Villa At Jacksonville Beach Inc,Jacksonville Beach,Region 4,Duval,30.2698857,-81.4016496,_____,_____,_____,_____,_____,_____,_____,_____,_____
Aventura At The Bay,Aventura At The Bay,Saint Petersburg,Region 5,Pinellas,27.866261,-82.6404524,_____,_____,_____,_____,_____,_____,_____,_____,_____
Aventura Rehab And Nursing Center,Aventura Rehab And Nursing Center,North Miami Beach,Region 11,Miami-Dade,25.930001,-80.1636304,_____,_____,_____,_____,_____,_____,_____,_____,_____
Ayers Health And Rehabilitation Center,Ayers Health And Rehabilitation Center,Trenton,Region 3,Gilchrist,29.617579,-82.809987,_____,_____,_____,_____,_____,_____,_____,_____,_____
Azure Shores Rehab,Azure Shores Rehab,Miami,Region 11,Miami-Dade,25.8611444,-80.212137,_____,_____,_____,_____,_____,_____,_____,_____,_____
Baldomero Lopez Memorial Veterans Nursing Home,Baldomero Lopez Memorial Veterans Nursing Home,Land O Lakes,Region 5,Pasco,28.2506345,-82.4486447,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bartow Center,Bartow Center,Bartow,Region 6,Polk,27.88188,-81.8239651,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bartram Crossing,Bartram Crossing,Jacksonville,Region 4,Duval,30.135713,-81.5380441,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bay Breeze Health And Rehabilitation Center,Bay Breeze Health And Rehabilitation Center,Venice,Region 8,Sarasota,27.10591,-82.43311,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bay Breeze Senior Living And Rehabilitation Center,Bay Breeze Senior Living And Rehabilitation Center,Gulf Breeze,Region 1,Santa Rosa,30.3861323,-87.0824825,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bay Pointe Nursing Pavilion,Bay Pointe Nursing Pavilion,Saint Petersburg,Region 5,Pinellas,27.7297674,-82.6761205,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bay Village Of Sarasota,Bay Village Of Sarasota,Sarasota,Region 8,Sarasota,27.2290821,-82.4985046,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bay Vue Nursing And Rehabilitation Center,Bay Vue Nursing And Rehabilitation Center,Bradenton,Region 6,Manatee,27.4984862,-82.54745,_____,_____,_____,_____,_____,_____,_____,_____,_____
Baya Pointe Nursing And Rehabilitation Center,Baya Pointe Nursing And Rehabilitation Center,Lake City,Region 3,Columbia,30.182093,-82.62559,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bayshore Pointe Nursing And Rehab Center,Bayshore Pointe Nursing And Rehab Center,Tampa,Region 6,Hillsborough,27.8939007,-82.4958786,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bayside Care Center,Bayside Care Center,Saint Petersburg,Region 5,Pinellas,27.780642,-82.648289,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bayside Health And Rehabilitation Center,Bayside Health And Rehabilitation Center,Pensacola,Region 1,Escambia,30.4818659,-87.168418,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bayview Center,Bayview Center,Eustis,Region 3,Lake,28.8494194,-81.6852029,_____,_____,_____,_____,_____,_____,_____,_____,_____
Beach Breeze Rehab And Care Center,Beach Breeze Rehab And Care Center,West Palm Beach,Region 9,Palm Beach,26.6533734,-80.0947454,_____,_____,_____,_____,_____,_____,_____,_____,_____
Beach Street Health And Rehabilitation Center,Beach Street Health And Rehabilitation Center,Daytona Beach,Region 4,Volusia,29.1943831,-81.010528,_____,_____,_____,_____,_____,_____,_____,_____,_____
Beachside Center For Rehabilitation And Nursing,Beachside Center For Rehabilitation And Nursing,New Smyrna Beach,Region 4,Volusia,29.0159874,-80.8842809,_____,_____,_____,_____,_____,_____,_____,_____,_____
