business_name,city,county,state,latitude,longitude,location_type,partial_match
Alf Morning Dew,Tampa,Hillsborough,florida,28.1575878,-82.2980278,GEOMETRIC_CENTER,True
Alf Phillippe Ridge,Safety Harbor,Pinellas,florida,27.9908529,-82.6931553,APPROXIMATE,True
Alf Sunset Palace,Miami,Miami-Dade,florida,25.7812418,-80.1307282,ROOFTOP,True
Alf Sweet Home,Miami,Miami-Dade,florida,25.7686022,-80.26408839999999,ROOFTOP,True
Alf Villa Francisco Home Care Corp,Miami,Miami-Dade,florida,25.7631928,-80.3104592,ROOFTOP,True
Alfonso'S Alf,Miami,Miami-Dade,florida,25.7686022,-80.26408839999999,ROOFTOP,True
Alice'S Home Corp,Miami,Miami-Dade,florida,25.7022246,-80.3346791,ROOFTOP,True
Alimar Assisted Living,Tampa,Hillsborough,florida,27.9668859,-82.49082399999999,ROOFTOP,True
Alis Sweet Home,Miami,Miami-Dade,florida,25.7023655,-80.3828941,ROOFTOP,True
Aliviya Rose Manor,Spring Hill,Hernando,florida,28.4572621,-82.4930095,ROOFTOP,True
All Dunn Assistant Living Facility #2,Pembroke Pines,Broward,florida,26.0048181,-80.3100433,GEOMETRIC_CENTER,True
All Dunn Assistant Living.,Hollywood,Broward,florida,26.0131325,-80.1740796,ROOFTOP,True
All Heart Assisted Living Facility,Palm Bay,Brevard,florida,27.9608281,-80.680643,ROOFTOP,True
All Seasons In Naples,Naples,Collier,florida,26.1420358,-81.7948103,APPROXIMATE,True
All Seniors Assisted Living,Orlando,Orange,florida,28.5794606,-81.4639648,ROOFTOP,True
All Star Assisted Living,Altamonte Springs,Seminole,florida,28.6788275,-81.4309804,ROOFTOP,True
Allegro,Tampa,Hillsborough,florida,27.9403326,-82.46797959999999,ROOFTOP,True
Allegro,Saint Augustine,St. Johns,florida,29.86267,-81.295599,ROOFTOP,True
Allegro,Parkland,Broward,florida,26.3270721,-80.2048034,ROOFTOP,True
Allegro,Fleming Island,Clay,florida,30.1331291,-81.7017517,ROOFTOP,True
Allegro,Tallahassee,Leon,florida,30.5355907,-84.21464019999999,ROOFTOP,True
Allegro,Boynton Beach,Palm Beach,florida,26.5065169,-80.1637185,ROOFTOP,True
Allegro Winter Park,Winter Park,Seminole,florida,28.626159,-81.3107661,ROOFTOP,True
Allure Of Palm Harbor,Palm Harbor,Pinellas,florida,28.0780718,-82.7637127,APPROXIMATE,True
Almost Home,Jacksonville,Duval,florida,30.2020308,-81.5838916,ROOFTOP,True
Almost Home At North Springs.,Coral Springs,Broward,florida,26.2922737,-80.2558288,APPROXIMATE,True
Almost Home Beaches,Atlantic Beach,Duval,florida,30.3250471,-81.4207065,ROOFTOP,True
Alondra'S Alf,Tampa,Hillsborough,florida,27.950575,-82.4571776,APPROXIMATE,True
Alsina Corporation,Miami,Miami-Dade,florida,25.7937998,-80.3396365,ROOFTOP,True
Alton Aclf Home,Miami,Miami-Dade,florida,25.7700458,-80.24184199999999,ROOFTOP,True
Alura Senior Living,Rockledge,Brevard,florida,28.3021623,-80.74020139999999,ROOFTOP,True
Always Loving Family Corp,Miami,Miami-Dade,florida,25.7243545,-80.4389982,ROOFTOP,True
Always There Assisted Living,Citrus Springs,Citrus,florida,28.9974771,-82.47065479999999,APPROXIMATE,True
Am Sweet Home Alf Corp,Miami,Miami-Dade,florida,25.7616798,-80.1917902,APPROXIMATE,True
Amanecer Home Alf,Miami,Miami-Dade,florida,25.72275,-80.3787613,ROOFTOP,True
Amavida Lakes Park D/B/A Amavida Senior Living,Fort Myers,Lee,florida,26.5231616,-81.8814532,ROOFTOP,True
Amazing Grace Assisted Living Home Ii,West Palm Beach,Palm Beach,florida,26.6551241,-80.07973659999999,ROOFTOP,True
Amazing Grace Assisted Living Home Iii,Lake Clarke Shores,Palm Beach,florida,26.6551241,-80.07973659999999,ROOFTOP,True
Amazing Grace Assisted Living Home Iv,Palm Beach Gardens,Palm Beach,florida,26.801845,-80.2136079,ROOFTOP,True
Amazing Grace Assisted Living Home,West Palm Beach,Palm Beach,florida,26.6551241,-80.07973659999999,ROOFTOP,True
Amber Cove,Royal Palm Beach,Palm Beach,florida,26.7252728,-80.21869339999999,ROOFTOP,True
Amber Lake Assisted Living Facility,Kissimmee,Osceola,florida,28.3050243,-81.3462581,ROOFTOP,True
Ambiance At Maitland,Maitland,Orange,florida,28.6342404,-81.38527520000001,ROOFTOP,True
Ambitious Quality-Care Assisted Living,Winter Haven,Polk,florida,27.997561,-81.78917249999999,ROOFTOP,True
Amelia Alf,Saint Petersburg,Pinellas,florida,27.8439674,-82.624611,GEOMETRIC_CENTER,True
Amelia Springs Assisted Living,Fernandina Beach,Nassau,florida,30.6696818,-81.46259189999999,APPROXIMATE,True
Amelia'S House,Pinellas Park,Pinellas,florida,27.8376826,-82.705838,ROOFTOP,True
American Dream Alf,Tampa,Hillsborough,florida,27.950575,-82.4571776,APPROXIMATE,True
American Home Care Facility,Miami,Miami-Dade,florida,25.7009972,-80.4453373,ROOFTOP,True
American House Bonita Springs,Bonita Springs,Lee,florida,26.3416,-81.76544500000001,ROOFTOP,True
American House Coconut Point,Bonita Springs,Lee,florida,26.3925033,-81.80624739999999,ROOFTOP,True
American House Fort Myers,Fort Myers,Lee,florida,26.5385574,-81.8521826,ROOFTOP,True
American House Lutz,Lutz,Hillsborough,florida,28.1918648,-82.3939577,ROOFTOP,True
American House Orange City,Orange City,Volusia,florida,28.9488761,-81.2986741,APPROXIMATE,True
American House Sarasota,Sarasota,Sarasota,florida,27.297532,-82.477347,ROOFTOP,True
American House St Petersburg,Saint Petersburg,Pinellas,florida,27.7822856,-82.7266387,ROOFTOP,True
American House Zephryhills,Zephyrhills,Pasco,florida,28.265753,-82.18516799999999,ROOFTOP,True
American Life Adult Care Center,Miami Lakes,Miami-Dade,florida,25.927442,-80.344565,ROOFTOP,True
Americare Assisted Living,Deltona,Volusia,florida,28.92413329999999,-81.18271469999999,ROOFTOP,True
Americus Total Care,Clearwater,Pinellas,florida,27.993383,-82.7414944,ROOFTOP,True
Amethyst Care,Sunrise,Broward,florida,26.1537159,-80.2555314,ROOFTOP,True
Amethyst Care,Sunrise,Broward,florida,26.1537159,-80.2555314,ROOFTOP,True
Amigos Home Alf Corp,Miami,Miami-Dade,florida,25.7616798,-80.1917902,APPROXIMATE,True
Amigos Of Westchester Alf Corp,Miami,Miami-Dade,florida,25.7616798,-80.1917902,APPROXIMATE,True
Amira Choice Naples,Naples,Collier,florida,26.2756329,-81.68309289999999,ROOFTOP,True
Amira Choice Sarasota,Sarasota,Sarasota,florida,27.3876945,-82.4860853,ROOFTOP,True
Amistad 308,Miami,Miami-Dade,florida,25.73356,-80.324975,ROOFTOP,True
Amor De Jesus Corp,Miami,Miami-Dade,florida,25.7710055,-80.26336979999999,ROOFTOP,True
Amor Y Esperanza Home Care.,Hialeah,Miami-Dade,florida,25.8489288,-80.28312969999999,ROOFTOP,True
Amor Y Paz Alf,Miami,Miami-Dade,florida,25.7616798,-80.1917902,APPROXIMATE,True
Amore At Kanner Highway,Stuart,Martin,florida,27.18316,-80.254584,ROOFTOP,True
Amparito'S Senior Care,Miami,Miami-Dade,florida,25.8217857,-80.3323644,ROOFTOP,True
An Excellent Care Alf,Homestead,Miami-Dade,florida,25.5364692,-80.4545761,ROOFTOP,True
Ana Abuelos Alf,Tampa,Hillsborough,florida,27.9911018,-82.4417655,ROOFTOP,True
Anais Alf,Miami,Miami-Dade,florida,25.7686022,-80.26408839999999,ROOFTOP,True
Ana'S Elderly Care,Miami,Miami-Dade,florida,25.7646724,-80.25140739999999,ROOFTOP,True
Ana'S Family Home Alf.,Miami,Miami-Dade,florida,25.7686022,-80.26408839999999,ROOFTOP,True
Anchin Pavilion,Sarasota,Sarasota,florida,27.3553619,-82.4668121,ROOFTOP,True
Andalusia Alf,Hialeah,Miami-Dade,florida,25.8743823,-80.26956469999999,ROOFTOP,True
Andrea Martin Home,Pembroke Pines,Broward,florida,26.007765,-80.2962555,APPROXIMATE,True
Angel Care Alf,Pompano Beach,Broward,florida,26.2549379,-80.09362689999999,ROOFTOP,True
Angel Care Assisted Living Facility,Saint Petersburg,Pinellas,florida,27.7286706,-82.6760857,ROOFTOP,True
Angel Care At Vero Beach,Vero Beach,Indian River,florida,27.6221401,-80.38696,ROOFTOP,True
Angel De Amor Corp,Miami,Miami-Dade,florida,25.7937998,-80.3396365,ROOFTOP,True
Angel House Assisted Living.,Pembroke Pines,Broward,florida,26.0248437,-80.2937689,ROOFTOP,True
Angel Of Light Assisted Living Facility,Port Saint Lucie,St. Lucie,florida,27.251739,-80.3621685,ROOFTOP,True
Angela'S Care,Miami,Miami-Dade,florida,25.8110882,-80.19139249999999,ROOFTOP,True
Angelcare With A Vision,Bonifay,Holmes,florida,30.7918559,-85.6796533,APPROXIMATE,True
Angeles Alf,Miami,Miami-Dade,florida,25.7686022,-80.26408839999999,ROOFTOP,True
Angeles De Amor,Miami,Miami-Dade,florida,25.7616798,-80.1917902,APPROXIMATE,True
Angeles De Vida Alf Corp,Miami,Miami-Dade,florida,25.7952595,-80.23182709999999,GEOMETRIC_CENTER,True
Angeles Residential,Hialeah,Miami-Dade,florida,25.8799235,-80.2832368,ROOFTOP,True
Angeles Senior Care,Miami,Miami-Dade,florida,25.8217857,-80.3323644,ROOFTOP,True
Angelica Home Corp,Miami,Miami-Dade,florida,25.7808211,-80.2037481,ROOFTOP,True
Angelina Alf,Miami,Miami-Dade,florida,25.7686022,-80.26408839999999,ROOFTOP,True
Angels Forever,Miami,Miami-Dade,florida,25.7616798,-80.1917902,APPROXIMATE,True
Angels Garden Aclf,Tampa,Hillsborough,florida,28.0209322,-82.4757779,ROOFTOP,True
Angels Home (The),Miami,Miami-Dade,florida,25.7616798,-80.1917902,APPROXIMATE,True
Angels Retirement Home Corp (The),Miami,Miami-Dade,florida,25.7616798,-80.1917902,APPROXIMATE,True
Angels Senior Living At Connerton Court,Land O Lakes,Pasco,florida,28.2727442,-82.4832216,ROOFTOP,True
Angels Senior Living At New Tampa,Tampa,Hillsborough,florida,28.0829457,-82.4150178,ROOFTOP,True
Angels Senior Living At North Tampa,Tampa,Hillsborough,florida,28.0796781,-82.4588461,ROOFTOP,True
Angels Senior Living At Palma Ceia,Tampa,Hillsborough,florida,27.9195412,-82.5050914,ROOFTOP,True
Angels Senior Living At Sarasota,Sarasota,Sarasota,florida,27.2704404,-82.4651181,ROOFTOP,True
Angels Senior Living At South Tampa,Tampa,Hillsborough,florida,27.9131342,-82.49332199999999,ROOFTOP,True
Angels Senior Living At The Lodges At Idlewild,Lutz,Hillsborough,florida,28.1374885,-82.4949134,ROOFTOP,True
Angel'S Senior Living Ii,Port Orange,Volusia,florida,29.100433,-81.0241583,ROOFTOP,True
Angels Senior Living Of Dunedin,Dunedin,Pinellas,florida,28.0197404,-82.7717684,APPROXIMATE,True
Angels Senior Living Reserve Of Idlewild,Lutz,Hillsborough,florida,28.1368477,-82.49344909999999,ROOFTOP,True
Angels Tch,Riverview,Hillsborough,florida,27.854696,-82.3156295,ROOFTOP,True
Angels With A Divine Purpose,Madison,Madison,florida,30.4589044,-83.406499,ROOFTOP,True
Ani Alf Care Corp.,Miami,Miami-Dade,florida,25.7631928,-80.3104592,ROOFTOP,True
Anjole Alf,Miami,Miami-Dade,florida,25.7686022,-80.26408839999999,ROOFTOP,True
Anne Assisted Living Facility,Fort Lauderdale,Broward,florida,26.1224386,-80.13731740000001,APPROXIMATE,True
Anne'S Home Alf,Winter Springs,Seminole,florida,28.6623538,-81.2749815,ROOFTOP,True
Anne'S Home Winter Park,Winter Park,Orange,florida,28.6623538,-81.2749815,ROOFTOP,True
Annies At Latania Dr,Tampa,Hillsborough,florida,28.0433253,-82.5006098,GEOMETRIC_CENTER,True
Annie'S Alf,Tampa,Hillsborough,florida,27.9911018,-82.4417655,ROOFTOP,True
Annies At Capebend,Tampa,Hillsborough,florida,28.0362552,-82.4399758,GEOMETRIC_CENTER,True
Annies At Lake Magdalene,Tampa,Hillsborough,florida,28.0741832,-82.4717613,APPROXIMATE,True
Annie'S Retirement Home,Fort Lauderdale,Broward,florida,26.2034718,-80.1241701,ROOFTOP,True
Ann'S House-Oakwood,Spring Hill,Hernando,florida,28.493591,-82.55015039999999,ROOFTOP,True
Ansley Parke At Oakbridge,Lakeland,Polk,florida,28.0084292,-81.97414959999999,ROOFTOP,True
Anthem Lakes,Atlantic Beach,Duval,florida,30.3537246,-81.4172421,ROOFTOP,True
Anthurium (The),Lehigh Acres,Lee,florida,26.6253497,-81.6248026,APPROXIMATE,True
Apollo Gardens Retirement Residence Care.,Hollywood,Broward,florida,26.0181339,-80.16201269999999,ROOFTOP,True
Apostolado Home #3,Miami,Miami-Dade,florida,25.7616798,-80.1917902,APPROXIMATE,True
Apple Alf,Plantation,Broward,florida,26.1087153,-80.26005579999999,ROOFTOP,True
Aprea Home Health,Florida City,Miami-Dade,florida,25.4478898,-80.47922369999999,APPROXIMATE,True
Aravilla Clearwater,Clearwater,Pinellas,florida,27.9948417,-82.7092335,ROOFTOP,True
Arbor At Shell Point (The),Fort Myers,Lee,florida,26.507652,-81.984273,ROOFTOP,True
Arbor Cove Alf Of Florida,Orlando,Orange,florida,28.5383832,-81.3789269,APPROXIMATE,True
Arbor Glen At Arbor Trace,Naples,Collier,florida,26.3023084,-81.8227151,ROOFTOP,True
Arbor Oaks At Greenacres,Greenacres,Palm Beach,florida,26.6280557,-80.1452168,ROOFTOP,True
Arbor Oaks At Lakeland Hills,Lakeland,Polk,florida,28.0937345,-81.9517491,ROOFTOP,True
Arbor Oaks At Tyrone,Saint Petersburg,Pinellas,florida,27.7887589,-82.7329561,ROOFTOP,True
Arbor Terrace Citrus Park,Tampa,Hillsborough,florida,28.0763293,-82.5800457,ROOFTOP,True
Arbor Village,Tampa,Hillsborough,florida,28.0661408,-82.4342813,ROOFTOP,True
Arbors Of Gulf Breeze,Gulf Breeze,Santa Rosa,florida,30.3628686,-87.1648164,ROOFTOP,True
Arcadia Oaks Assisted Living,Arcadia,Desoto,florida,27.2240913,-81.84796279999999,ROOFTOP,True
Arcadia Senior Living Pace,Pace,Santa Rosa,florida,30.6443176,-87.17916869999999,ROOFTOP,True
Arden Courts (Delray Beach),Delray Beach,Palm Beach,florida,26.4365763,-80.1449234,ROOFTOP,True
Arden Courts (Ft. Myers),Fort Myers,Lee,florida,26.6376545,-81.8704854,GEOMETRIC_CENTER,True
Arden Courts (Largo),Largo,Pinellas,florida,27.919582,-82.7744472,ROOFTOP,True
Arden Courts (Lely Palms),Naples,Collier,florida,26.1083108,-81.7148658,ROOFTOP,True
Arden Courts (Palm Harbor),Palm Harbor,Pinellas,florida,28.0700195,-82.7313989,ROOFTOP,True
Arden Courts (Seminole),Seminole,Pinellas,florida,27.8575454,-82.8289861,ROOFTOP,True
Arden Courts (Tampa),Tampa,Hillsborough,florida,28.0878565,-82.5180508,ROOFTOP,True
Arden Courts (West Palm Beach),West Palm Beach,Palm Beach,florida,26.7321777,-80.0924682,ROOFTOP,True
Arden Courts (Winter Springs),Winter Springs,Seminole,florida,28.6453541,-81.2694083,ROOFTOP,True
Arden Courts Of Sarasota,Sarasota,Sarasota,florida,27.2750438,-82.5132414,ROOFTOP,True
Arenas Blancas Corp,Miami Gardens,Miami-Dade,florida,25.9420377,-80.2456045,APPROXIMATE,True
Argo Senior Living At Haverhill,West Palm Beach,Palm Beach,florida,26.7207006,-80.1189093,ROOFTOP,True
Arlington Adult Residential Facility,Jacksonville,Duval,florida,30.326659,-81.592427,ROOFTOP,True
Arlington Garden,Pinellas Park,Pinellas,florida,27.840068,-82.7174154,ROOFTOP,True
Arlington Haven Alf,Jacksonville,Duval,florida,30.3333811,-81.59404359999999,ROOFTOP,True
Armero Torres Alf,Miami,Miami-Dade,florida,25.7616798,-80.1917902,APPROXIMATE,True
Arnais Assisted Living,Miami,Miami-Dade,florida,25.7697045,-80.2387236,ROOFTOP,True
